# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  238    -   243
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.342105        0.000000        0.000000        0.985713
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.500000        0.157895        0.000000       -0.338830
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   0.930653   0.000000   0.214738        0.551545               1.210526   0.000000   0.000000
   0.930653  -0.373794   0.214738        0.336959               1.210526  -0.500000   0.000000
   0.930653  -0.747589   0.214738        0.551545               1.210526  -1.000000   0.000000
   0.910422   1.121383   0.210070        0.313535               1.184211   1.500000   0.000000
   0.910422   0.747589   0.210070        0.532609               1.184211   1.000000   0.000000
   0.910422   0.373794   0.210070        0.313535               1.184211   0.500000   0.000000
   0.910422   0.000000   0.210070        0.532609               1.184211   0.000000   0.000000
   0.910422  -0.373794   0.210070        0.313535               1.184211  -0.500000   0.000000
   0.910422  -0.747589   0.210070        0.532609               1.184211  -1.000000   0.000000
   0.890190   1.121383   0.205402        0.282020               1.157895   1.500000   0.000000
   0.890190   0.747589   0.205402        0.527849               1.157895   1.000000   0.000000
   0.890190   0.373794   0.205402        0.282020               1.157895   0.500000   0.000000
   0.890190   0.000000   0.205402        0.527849               1.157895   0.000000   0.000000
   0.890190  -0.373794   0.205402        0.282020               1.157895  -0.500000   0.000000
   0.890190  -0.747589   0.205402        0.527849               1.157895  -1.000000   0.000000
   0.869959   1.121383   0.200734        0.242677               1.131579   1.500000   0.000000
   0.869959   0.747589   0.200734        0.524110               1.131579   1.000000   0.000000
   0.869959   0.373794   0.200734        0.242677               1.131579   0.500000   0.000000
